Audio_UMAP_X,Audio_UMAP_Y,Audio_UMAP_Z,Volume,Pitch
9.554805755615234375e+00,1.052057552337646484e+01,6.167111873626708984e+00,1.289412472397089005e-02,2.679866376666603287e+02
9.502736091613769531e+00,1.059785270690917969e+01,6.150246143341064453e+00,1.096264179795980453e-02,1.133186741300421119e+02
9.615447044372558594e+00,1.042728614807128906e+01,6.241536140441894531e+00,9.006564505398273468e-03,1.146243709118549106e+02
9.675836563110351562e+00,1.032018089294433594e+01,6.310973644256591797e+00,9.324438869953155518e-03,1.157030339892060766e+02
9.672898292541503906e+00,1.032530498504638672e+01,6.304754257202148438e+00,9.345940314233303070e-03,1.159750413349355398e+02
9.638002395629882812e+00,1.037777519226074219e+01,6.288439750671386719e+00,9.131941013038158417e-03,1.153157674315192196e+02
9.687835693359375000e+00,1.030335235595703125e+01,6.325412273406982422e+00,8.629144169390201569e-03,1.179278696571206950e+02
9.679186820983886719e+00,1.030920314788818359e+01,6.328842639923095703e+00,7.582944352179765701e-03,1.197690525021057510e+02
9.692153930664062500e+00,1.030143642425537109e+01,6.316735267639160156e+00,7.933509536087512970e-03,3.787588969889769714e+02
9.695408821105957031e+00,1.028968906402587891e+01,6.326624393463134766e+00,9.173369035124778748e-03,2.100350064755994026e+02
9.718310356140136719e+00,1.026161956787109375e+01,6.349406719207763672e+00,1.001826860010623932e-02,7.349164168821997123e+01
9.709781646728515625e+00,1.027407169342041016e+01,6.329643249511718750e+00,1.032072864472866058e-02,7.248446780874584761e+01
9.689844131469726562e+00,1.029648494720458984e+01,6.333349704742431641e+00,1.012132596224546432e-02,7.179040991485899781e+01
9.766349792480468750e+00,1.019368457794189453e+01,6.300203800201416016e+00,9.036725386977195740e-03,6.523668639053254026e+01
9.800197601318359375e+00,1.016305637359619141e+01,6.274934768676757812e+00,7.860695011913776398e-03,1.149766626432169119e+02
9.742329597473144531e+00,1.020123100280761719e+01,6.290330410003662109e+00,7.648713421076536179e-03,1.181496222415526631e+02
9.713998794555664062e+00,1.026588535308837891e+01,6.268134117126464844e+00,7.862912490963935852e-03,1.140924129420117339e+02
9.751397132873535156e+00,1.019710540771484375e+01,6.231469631195068359e+00,7.592453155666589737e-03,1.137963521661298927e+02
9.914890289306640625e+00,9.791166305541992188e+00,6.186506271362304688e+00,7.778618950396776199e-03,1.222861371685192324e+02
9.898592948913574219e+00,9.765937805175781250e+00,6.170513629913330078e+00,7.641300093382596970e-03,1.142484067645448960e+02
9.841511726379394531e+00,9.758389472961425781e+00,6.133675098419189453e+00,6.849328055977821350e-03,1.144692355762566791e+02
9.758371353149414062e+00,9.458955764770507812e+00,6.182537078857421875e+00,7.073098327964544296e-03,1.137442826304206704e+02
9.651448249816894531e+00,9.244442939758300781e+00,6.214579105377197266e+00,7.917646318674087524e-03,1.133030846528421449e+02
9.699175834655761719e+00,9.223483085632324219e+00,6.173772811889648438e+00,8.314933627843856812e-03,1.149841033716562180e+02
9.646025657653808594e+00,9.219328880310058594e+00,6.212491989135742188e+00,1.006714254617691040e-02,1.156434987300517463e+02
9.639570236206054688e+00,9.224447250366210938e+00,6.195186614990234375e+00,1.000417675822973251e-02,1.159523275189240366e+02
9.631851196289062500e+00,9.205992698669433594e+00,6.207639217376708984e+00,9.516243822872638702e-03,1.153013361295569439e+02
9.653938293457031250e+00,9.242503166198730469e+00,6.198770046234130859e+00,9.469770826399326324e-03,1.160324694981234330e+02
9.713504791259765625e+00,9.427196502685546875e+00,6.155046463012695312e+00,7.312951143831014633e-03,1.135625420399482124e+02
9.657600402832031250e+00,9.282745361328125000e+00,6.214831829071044922e+00,7.520006038248538971e-03,1.137802391419080692e+02
9.642765045166015625e+00,9.240864753723144531e+00,6.219143867492675781e+00,7.645080797374248505e-03,1.137253577758021379e+02
9.622503280639648438e+00,9.181386947631835938e+00,6.196651935577392578e+00,7.296242285519838333e-03,1.167969277160656958e+02
9.658696174621582031e+00,9.161977767944335938e+00,6.158640384674072266e+00,7.998432032763957977e-03,1.167831513287598995e+02
9.643951416015625000e+00,9.177577018737792969e+00,6.180786132812500000e+00,8.467773906886577606e-03,1.166138543955076727e+02
9.635850906372070312e+00,9.190054893493652344e+00,6.193108558654785156e+00,8.915264159440994263e-03,1.190636528365353399e+02
9.620458602905273438e+00,9.125967979431152344e+00,6.156660079956054688e+00,9.336019866168498993e-03,1.210863296727985272e+02
9.662775039672851562e+00,7.012699127197265625e+00,4.099696636199951172e+00,1.194555312395095825e-02,1.231613910209931220e+02
8.253124237060546875e+00,4.402245998382568359e+00,2.899303197860717773e+00,3.470145165920257568e-02,1.861517315054494702e+03
3.137533426284790039e+00,2.157751798629760742e+00,6.827590465545654297e+00,1.248092055320739746e-01,1.701765090295191385e+03
7.238824844360351562e+00,5.052115321159362793e-01,5.666412711143493652e-01,1.970507055521011353e-01,1.623805321327078218e+03
7.718142986297607422e+00,-1.402899980545043945e+00,2.741046547889709473e-01,2.043006718158721924e-01,1.613851979598272465e+03
8.798230171203613281e+00,-2.319349527359008789e+00,7.637368440628051758e-01,2.016646414995193481e-01,1.612622160790640237e+03
9.081389427185058594e+00,-2.167248725891113281e+00,9.673232436180114746e-01,1.621067225933074951e-01,1.577055381884222015e+03
9.739831924438476562e+00,6.997067451477050781e+00,3.888359308242797852e+00,5.564002320170402527e-02,9.148316101736885457e+02
-2.051472961902618408e-01,4.620048522949218750e+00,3.748785734176635742e+00,4.366466775536537170e-02,1.161138556146449901e+03
-9.850014448165893555e-01,5.302254676818847656e+00,3.228877067565917969e+00,8.569860458374023438e-02,1.850791520253138515e+03
-2.022151231765747070e+00,5.682550430297851562e+00,3.540958642959594727e+00,1.329720765352249146e-01,1.804860832859378661e+03
-1.840816020965576172e+00,5.559138774871826172e+00,3.468762159347534180e+00,1.713462322950363159e-01,8.837236435188160613e+02
-3.985184729099273682e-01,3.956719875335693359e+00,4.268072605133056641e+00,1.912926733493804932e-01,1.005276958572011040e+03
-3.301333487033843994e-01,3.915136814117431641e+00,4.319831848144531250e+00,1.990164369344711304e-01,1.002031634461349881e+03
3.132925748825073242e+00,2.189784288406372070e+00,6.920901298522949219e+00,2.259180396795272827e-01,1.163039482789942440e+03
4.275007724761962891e+00,2.003834962844848633e+00,7.637270450592041016e+00,2.268439978361129761e-01,2.205000000000000000e+03
5.767920017242431641e+00,2.154905796051025391e+00,8.230147361755371094e+00,2.236851304769515991e-01,2.205000000000000000e+03
7.047202110290527344e+00,3.154048204421997070e+00,7.668697357177734375e+00,2.057487070560455322e-01,2.205000000000000000e+03
7.666347980499267578e+00,4.060531139373779297e+00,7.466843605041503906e+00,1.434585899114608765e-01,2.062007890312862855e+03
8.138425827026367188e+00,4.403086662292480469e+00,6.977573394775390625e+00,9.178603440523147583e-02,2.016897454953660599e+03
9.318426132202148438e+00,5.817554950714111328e+00,3.840748786926269531e+00,2.897139452397823334e-02,2.004700566699657429e+03
8.680658340454101562e+00,4.923169612884521484e+00,3.382360219955444336e+00,1.713829301297664642e-02,1.728479251202181104e+03
7.549842834472656250e+00,3.931354761123657227e+00,2.490968465805053711e+00,6.332291662693023682e-02,1.447439420078458397e+03
7.362513065338134766e+00,2.437244415283203125e+00,1.665799260139465332e+00,1.757074743509292603e-01,1.778533728754017602e+03
7.099411010742187500e+00,1.379218220710754395e+00,9.260959029197692871e-01,2.590631544589996338e-01,1.699509375891732134e+03
7.550722122192382812e+00,-9.967610239982604980e-01,2.616679668426513672e-01,3.257147073745727539e-01,1.648012588750874329e+03
8.630688667297363281e+00,-2.223884582519531250e+00,5.183196067810058594e-01,3.268100321292877197e-01,1.641242982937006900e+03
8.877142906188964844e+00,-2.335170507431030273e+00,8.075250983238220215e-01,2.827096283435821533e-01,1.601863748222669074e+03
9.059481620788574219e+00,-2.244135618209838867e+00,9.144833683967590332e-01,2.090122550725936890e-01,1.572829425782557792e+03
9.301555633544921875e+00,6.104785919189453125e+00,3.801675558090209961e+00,7.074080407619476318e-02,1.152829337605355477e+03
-4.547476172447204590e-01,4.864420890808105469e+00,3.666480064392089844e+00,7.420405000448226929e-02,2.015724766379517405e+03
-1.461379528045654297e+00,5.438594818115234375e+00,3.380593776702880859e+00,1.080836206674575806e-01,1.038913819614657768e+03
-2.022522211074829102e+00,5.677565574645996094e+00,3.481149196624755859e+00,1.510602235794067383e-01,6.473523395078118483e+02
-1.496546149253845215e+00,5.383938312530517578e+00,3.437975168228149414e+00,1.847769021987915039e-01,8.855006827066499682e+02
-2.784914970397949219e-01,4.007162570953369141e+00,4.244427204132080078e+00,1.975802034139633179e-01,8.829982128409803863e+02
1.837526679039001465e+00,2.946918010711669922e+00,5.867644786834716797e+00,2.222318947315216064e-01,1.165745185529796117e+03
3.140501976013183594e+00,2.205224514007568359e+00,6.947247028350830078e+00,2.856288850307464600e-01,1.162528758339879687e+03
4.356273651123046875e+00,1.977710127830505371e+00,7.690157413482666016e+00,3.113946318626403809e-01,2.205000000000000000e+03
5.751492977142333984e+00,2.150431156158447266e+00,8.231885910034179688e+00,3.150361180305480957e-01,2.205000000000000000e+03
7.006346702575683594e+00,3.103552341461181641e+00,7.676216125488281250e+00,2.882232666015625000e-01,2.205000000000000000e+03
7.458132266998291016e+00,3.737468242645263672e+00,7.482407569885253906e+00,1.993503421545028687e-01,1.390338541495665822e+03
7.887396335601806641e+00,3.944820404052734375e+00,7.118935585021972656e+00,1.119404956698417664e-01,2.049851057969898193e+03
8.944507598876953125e+00,6.313760280609130859e+00,3.663765430450439453e+00,2.015782147645950317e-02,2.205000000000000000e+03
8.727131843566894531e+00,5.031135559082031250e+00,3.476625919342041016e+00,2.528530359268188477e-02,2.338725945519471452e+02
7.487143516540527344e+00,3.870437860488891602e+00,2.432047367095947266e+00,5.807981267571449280e-02,2.057462815027108718e+03
7.378385066986083984e+00,2.590724945068359375e+00,1.752423763275146484e+00,1.905076950788497925e-01,1.822334870330518015e+03
6.910619258880615234e+00,1.625578641891479492e+00,9.494004249572753906e-01,2.947535216808319092e-01,1.730361193506410018e+03
7.199954509735107422e+00,-6.293790787458419800e-02,2.292048037052154541e-01,3.753526210784912109e-01,1.682533676119539678e+03
7.819913387298583984e+00,-1.478689312934875488e+00,3.723534047603607178e-01,3.977207541465759277e-01,1.667648759824174931e+03
8.321431159973144531e+00,-2.020938873291015625e+00,8.682748675346374512e-01,3.539507091045379639e-01,1.226177921008596059e+03
8.524844169616699219e+00,-1.805137753486633301e+00,1.017811655998229980e+00,2.733325064182281494e-01,1.596588356743151735e+03
8.723336219787597656e+00,-1.476066589355468750e+00,1.191715955734252930e+00,1.418482363224029541e-01,1.563922700888770578e+03
8.607668876647949219e+00,6.166724681854248047e+00,3.567505121231079102e+00,3.429545089602470398e-02,1.726408083500579096e+03
-6.065496206283569336e-01,5.195178508758544922e+00,3.595019578933715820e+00,9.455465525388717651e-02,1.870477165826690225e+03
-1.750577688217163086e+00,5.634369373321533203e+00,4.012829780578613281e+00,1.421615183353424072e-01,1.821776438010658012e+03
-1.735626816749572754e+00,5.646816253662109375e+00,4.098585128784179688e+00,1.895702779293060303e-01,7.119231185167999456e+02
-2.495223283767700195e-01,4.464812278747558594e+00,4.010067939758300781e+00,2.201712876558303833e-01,7.878521615020086983e+02
1.644879460334777832e+00,3.147814989089965820e+00,5.637566089630126953e+00,2.238970547914505005e-01,8.830410117828591865e+02
2.840565443038940430e+00,2.378111600875854492e+00,6.703215599060058594e+00,2.773262858390808105e-01,7.857928723893228380e+02
3.973794698715209961e+00,2.042239665985107422e+00,7.474621772766113281e+00,3.014279305934906006e-01,2.205000000000000000e+03
5.392811298370361328e+00,2.095302581787109375e+00,8.110443115234375000e+00,3.035708069801330566e-01,2.205000000000000000e+03
6.644928932189941406e+00,2.809426307678222656e+00,7.836978435516357422e+00,2.956876754760742188e-01,2.205000000000000000e+03
7.589148044586181641e+00,3.924806594848632812e+00,7.513613224029541016e+00,2.221878021955490112e-01,2.205000000000000000e+03
7.730442047119140625e+00,4.100672245025634766e+00,7.441028118133544922e+00,1.402975469827651978e-01,1.389857922816361679e+03
9.615088462829589844e+00,6.817568778991699219e+00,4.111922264099121094e+00,6.894338130950927734e-02,1.383664169222995270e+03
9.633764266967773438e+00,6.748566150665283203e+00,3.976621389389038086e+00,6.871868856251239777e-03,6.523668639053254026e+01
9.632788658142089844e+00,6.848038196563720703e+00,4.030754566192626953e+00,6.515203043818473816e-03,1.218667254771862645e+02
9.635927200317382812e+00,6.931312561035156250e+00,4.075784206390380859e+00,7.242089137434959412e-03,1.189775984054736568e+02
9.705555915832519531e+00,6.987852573394775391e+00,4.016175270080566406e+00,7.330582942813634872e-03,1.159206451857107112e+02
9.680736541748046875e+00,7.004596710205078125e+00,4.115080356597900391e+00,6.878639571368694305e-03,1.151052570557743877e+02
